Forest,Permit number,Issue date,Number of trees,Permit cost,Expiration date
Arapaho and Roosevelt,10,10/25/2018,1,10,1/5/2019
Shoshone,11,10/25/2018,1,8,12/23/2018
Flathead,12,10/25/2018,1,5,1/2/2019
Mt. Hood,14,10/30/2018,1,5,12/31/2018
Flathead,16,10/31/2018,1,5,1/1/2019
Shoshone,19,11/9/2018,1,8,12/31/2018
Mt. Hood,20,11/19/2018,1,5,12/31/2018
Mt. Hood,21,11/19/2018,1,5,12/31/2018
Flathead,23,11/19/2018,1,5,1/2/2019
Mt. Hood,24,11/19/2018,1,5,12/31/2018
Mt. Hood,25,11/19/2018,2,10,12/31/2018
Mt. Hood,26,11/19/2018,1,5,12/31/2018
Mt. Hood,27,11/19/2018,2,10,12/31/2018
Shoshone,28,11/19/2018,2,16,12/31/2018
Mt. Hood,29,11/19/2018,2,10,12/31/2018
Flathead,30,11/19/2018,1,5,1/2/2019
Mt. Hood,31,11/19/2018,1,5,12/31/2018
Shoshone,32,11/19/2018,2,16,12/31/2018
Mt. Hood,36,11/19/2018,1,5,12/31/2018
Shoshone,39,11/19/2018,1,8,12/31/2018
Shoshone,38,11/19/2018,1,8,12/31/2018
Mt. Hood,40,11/19/2018,1,5,12/31/2018
Mt. Hood,41,11/19/2018,4,20,12/31/2018
Arapaho and Roosevelt,42,11/19/2018,1,20,1/6/2019
Flathead,43,11/19/2018,1,5,1/2/2019
Flathead,44,11/19/2018,1,5,1/2/2019
Arapaho and Roosevelt,45,11/19/2018,1,20,1/6/2019
Mt. Hood,46,11/19/2018,5,25,12/31/2018
Mt. Hood,49,11/19/2018,1,5,12/31/2018
Mt. Hood,52,11/19/2018,1,5,12/31/2018
Arapaho and Roosevelt,51,11/19/2018,2,40,1/6/2019
Arapaho and Roosevelt,53,11/19/2018,2,40,1/6/2019
Arapaho and Roosevelt,54,11/19/2018,1,20,1/6/2019
Arapaho and Roosevelt,56,11/19/2018,1,20,1/6/2019
Mt. Hood,57,11/19/2018,1,5,12/31/2018
Mt. Hood,58,11/19/2018,1,5,12/31/2018
Mt. Hood,59,11/19/2018,1,5,12/31/2018
Arapaho and Roosevelt,60,11/19/2018,1,20,1/6/2019
Flathead,61,11/19/2018,1,5,1/2/2019
Mt. Hood,62,11/19/2018,1,5,12/31/2018
